"DisplayName","UPN","Department","JobTitle","ProfilePath"
"adm-labuser","adm-labuser@MngEnvMCAP709711.onmicrosoft.com","Security Operations","Privileged Analyst",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\adm-labuser_at_MngEnvMCAP709711.onmicrosoft.com.json"
"Admin Elliott Alderson","adm-ElliottAlderson@MngEnvMCAP709711.onmicrosoft.com","Identity","Privileged Administrator",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\adm-ElliottAlderson_at_MngEnvMCAP709711.onmicrosoft.com.json"
"Admin Lockhart","adm-lockhart@MngEnvMCAP709711.onmicrosoft.com","Identity","Privileged Administrator",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\adm-lockhart_at_MngEnvMCAP709711.onmicrosoft.com.json"
"Admin Voss","adm-voss@MngEnvMCAP709711.onmicrosoft.com","Identity","Privileged Administrator",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\adm-voss_at_MngEnvMCAP709711.onmicrosoft.com.json"
"cam","cam@MngEnvMCAP709711.onmicrosoft.com","Operations","Analyst",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\cam_at_MngEnvMCAP709711.onmicrosoft.com.json"
"Diego Rivera","drivera@MngEnvMCAP709711.onmicrosoft.com","Research","Engineer",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\drivera_at_MngEnvMCAP709711.onmicrosoft.com.json"
"ElliottAlderson","ElliottAlderson@MngEnvMCAP709711.onmicrosoft.com","Security Operations","Senior Analyst",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\ElliottAlderson_at_MngEnvMCAP709711.onmicrosoft.com.json"
"Marcus Chen","mchen@MngEnvMCAP709711.onmicrosoft.com","Operations","Manager",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\mchen_at_MngEnvMCAP709711.onmicrosoft.com.json"
"Priya Patel","ppatel@MngEnvMCAP709711.onmicrosoft.com","Finance","Analyst",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\ppatel_at_MngEnvMCAP709711.onmicrosoft.com.json"
"System Administrator","admin@MngEnvMCAP709711.onmicrosoft.com","Identity","System Administrator",".\Scripts\PowerShell\profiles\MngEnvMCAP709711\admin_at_MngEnvMCAP709711.onmicrosoft.com.json"
